pd_bucket,observations,avg_predicted_pd,observed_bad_rate
"(0.0017399999999999998, 0.0219]",9226,0.01551957308364182,0.017017125514849338
"(0.0219, 0.0321]",9225,0.02699814397375234,0.026124661246612467
"(0.0321, 0.0421]",9225,0.03711072264992472,0.03523035230352303
"(0.0421, 0.0531]",9226,0.04745698058203807,0.05061781920659007
"(0.0531, 0.0657]",9225,0.0591629068814249,0.05842818428184282
"(0.0657, 0.0808]",9225,0.07307001319227699,0.07338753387533875
"(0.0808, 0.0997]",9226,0.08995606572656559,0.09202254498157382
"(0.0997, 0.124]",9225,0.11137380275667941,0.10818428184281843
"(0.124, 0.161]",9225,0.1408429418487334,0.13712737127371274
"(0.161, 0.423]",9226,0.2030251270794922,0.20919141556470844
