feature,coefficient,odds_ratio,direction
PREV_IS_REFUSED_MEAN,-0.45490768124542985,0.6345065420981734,Lower default risk
INSTAL_IS_LATE_MEAN,-0.47918093591071487,0.6192904226784594,Lower default risk
EMPLOYMENT_YEARS,-0.509584630288385,0.6007450582971872,Lower default risk
AGE,-0.5150499804375281,0.5974707320233741,Lower default risk
LTV_PROXY,-0.576510432482995,0.5618555826509328,Lower default risk
ANNUITY_TO_CREDIT,-0.5796670463312757,0.5600848178187546,Lower default risk
POS_COUNT,-0.6285019816412668,0.5333902311847383,Lower default risk
PREV_CNT_PAYMENT_MAX,-0.6365629438533084,0.5291078758278533,Lower default risk
EXT_SOURCE_2,-0.7995714020364993,0.44952158687209565,Lower default risk
BUREAU_DAYS_CREDIT_MEAN,-0.9135744505593953,0.40108798949972946,Lower default risk
BUREAU_IS_ACTIVE_SUM,-0.9543294306012242,0.385070274338688,Lower default risk
EXT_SOURCE_3,-1.1460788052445714,0.31788080127018664,Lower default risk
